ind,name,desc
114,Javelin,"Категория снаряжения: Weapon. 
Вес: 2. 
Цена: 5 sp. 
Описание: -"
115,Jeweler's Tools,"Категория снаряжения: Tools. 
Вес: 2. 
Цена: 25 gp. 
Описание: These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency."
116,Jug or pitcher,"Категория снаряжения: Adventuring Gear. 
Вес: 4. 
Цена: 2 cp. 
Описание: -"
117,Keelboat,"Категория снаряжения: Mounts and Vehicles. 
Вес: -. 
Цена: 3000 gp. 
Описание: Keelboats and rowboats are used on lakes and rivers. If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles can't be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. A rowboat weighs 100 pounds, in case adventurers carry it over land."
118,Ladder (10-foot),"Категория снаряжения: Adventuring Gear. 
Вес: 25. 
Цена: 1 sp. 
Описание: -"
119,Lamp,"Категория снаряжения: Adventuring Gear. 
Вес: 1. 
Цена: 5 sp. 
Описание: A lamp casts bright light in a 15-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil."
120,Lance,"Категория снаряжения: Weapon. 
Вес: 6. 
Цена: 10 gp. 
Описание: -"
121,"Lantern, bullseye","Категория снаряжения: Adventuring Gear. 
Вес: 2. 
Цена: 10 gp. 
Описание: A bullseye lantern casts bright light in a 60-foot cone and dim light for an additional 60 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil."
122,"Lantern, hooded","Категория снаряжения: Adventuring Gear. 
Вес: 2. 
Цена: 5 gp. 
Описание: A hooded lantern casts bright light in a 30-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. As an action, you can lower the hood, reducing the light to dim light in a 5-foot radius."
123,Leather Armor,"Категория снаряжения: Armor. 
Вес: 10. 
Цена: 10 gp. 
Описание: -"
124,Leatherworker's Tools,"Категория снаряжения: Tools. 
Вес: 5. 
Цена: 5 gp. 
Описание: These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency."
125,Light hammer,"Категория снаряжения: Weapon. 
Вес: 2. 
Цена: 2 gp. 
Описание: -"
126,Little bag of sand,"Категория снаряжения: Adventuring Gear. 
Вес: 0. 
Цена: 0 cp. 
Описание: A small bag of sand, typically found in a scholar's pack."
127,Lock,"Категория снаряжения: Adventuring Gear. 
Вес: 1. 
Цена: 10 gp. 
Описание: A key is provided with the lock. Without the key, a creature proficient with thieves' tools can pick this lock with a successful DC 15 Dexterity check. Your GM may decide that better locks are available for higher prices."
128,Longbow,"Категория снаряжения: Weapon. 
Вес: 2. 
Цена: 50 gp. 
Описание: -"
129,Longship,"Категория снаряжения: Mounts and Vehicles. 
Вес: -. 
Цена: 10000 gp. 
Описание: -"
130,Longsword,"Категория снаряжения: Weapon. 
Вес: 3. 
Цена: 15 gp. 
Описание: -"
131,Lute,"Категория снаряжения: Tools. 
Вес: 2. 
Цена: 35 gp. 
Описание: Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency."
132,Lyre,"Категория снаряжения: Tools. 
Вес: 2. 
Цена: 30 gp. 
Описание: Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency."
133,Mace,"Категория снаряжения: Weapon. 
Вес: 4. 
Цена: 5 gp. 
Описание: -"
134,Magnifying glass,"Категория снаряжения: Adventuring Gear. 
Вес: 0. 
Цена: 100 gp. 
Описание: This lens allows a closer look at small objects. It is also useful as a substitute for flint and steel when starting fires. Lighting a fire with a magnifying glass requires light as bright as sunlight to focus, tinder to ignite, and about 5 minutes for the fire to ignite. A magnifying glass grants advantage on any ability check made to appraise or inspect an item that is small or highly detailed."
135,Manacles,"Категория снаряжения: Adventuring Gear. 
Вес: 6. 
Цена: 2 gp. 
Описание: These metal restraints can bind a Small or Medium creature. Escaping the manacles requires a successful DC 20 Dexterity check. Breaking them requires a successful DC 20 Strength check. Each set of manacles comes with one key. Without the key, a creature proficient with thieves' tools can pick the manacles' lock with a successful DC 15 Dexterity check. Manacles have 15 hit points."
136,Mason's Tools,"Категория снаряжения: Tools. 
Вес: 8. 
Цена: 10 gp. 
Описание: These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency."
137,Mastiff,"Категория снаряжения: Mounts and Vehicles. 
Вес: -. 
Цена: 25 gp. 
Описание: -"
138,Maul,"Категория снаряжения: Weapon. 
Вес: 10. 
Цена: 10 gp. 
Описание: -"
139,Mess Kit,"Категория снаряжения: Adventuring Gear. 
Вес: 1. 
Цена: 2 sp. 
Описание: This tin box contains a cup and simple cutlery. The box clamps together, and one side can be used as a cooking pan and the other as a plate or shallow bowl."
140,"Mirror, steel","Категория снаряжения: Adventuring Gear. 
Вес: 0.5. 
Цена: 5 gp. 
Описание: -"
141,Morningstar,"Категория снаряжения: Weapon. 
Вес: 4. 
Цена: 15 gp. 
Описание: -"
142,Mule,"Категория снаряжения: Mounts and Vehicles. 
Вес: -. 
Цена: 8 gp. 
Описание: -"
143,Navigator's Tools,"Категория снаряжения: Tools. 
Вес: 2. 
Цена: 25 gp. 
Описание: This set of instruments is used for navigation at sea. Proficiency with navigator's tools lets you chart a ship's course and follow navigation charts. In addition, these tools allow you to add your proficiency bonus to any ability check you make to avoid getting lost at sea."
144,Net,"Категория снаряжения: Weapon. 
Вес: 3. 
Цена: 1 gp. 
Описание: -"
145,Oil (flask),"Категория снаряжения: Adventuring Gear. 
Вес: 1. 
Цена: 1 sp. 
Описание: Oil usually comes in a clay flask that holds 1 pint. As an action, you can splash the oil in this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. Make a ranged attack against a target creature or object, treating the oil as an improvised weapon. On a hit, the target is covered in oil. If the target takes any fire damage before the oil dries (after 1 minute), the target takes an additional 5 fire damage from the burning oil. You can also pour a flask of oil on the ground to cover a 5-foot-square area, provided that the surface is level. If lit, the oil burns for 2 rounds and deals 5 fire damage to any creature that enters the area or ends its turn in the area. A creature can take this damage only once per turn."
146,Orb,"Категория снаряжения: Adventuring Gear. 
Вес: 3. 
Цена: 20 gp. 
Описание: An arcane focus is a special item--an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item--designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
147,Padded Armor,"Категория снаряжения: Armor. 
Вес: 8. 
Цена: 5 gp. 
Описание: -"
148,Painter's Supplies,"Категория снаряжения: Tools. 
Вес: 5. 
Цена: 10 gp. 
Описание: These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency."
149,Pan flute,"Категория снаряжения: Tools. 
Вес: 2. 
Цена: 12 gp. 
Описание: Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency."
150,Paper (one sheet),"Категория снаряжения: Adventuring Gear. 
Вес: 0. 
Цена: 2 sp. 
Описание: -"
151,Parchment (one sheet),"Категория снаряжения: Adventuring Gear. 
Вес: 0. 
Цена: 1 sp. 
Описание: -"
152,Perfume (vial),"Категория снаряжения: Adventuring Gear. 
Вес: 0. 
Цена: 5 gp. 
Описание: -"
153,"Pick, miner's","Категория снаряжения: Adventuring Gear. 
Вес: 10. 
Цена: 2 gp. 
Описание: -"
154,Pike,"Категория снаряжения: Weapon. 
Вес: 18. 
Цена: 5 gp. 
Описание: -"
155,Piton,"Категория снаряжения: Adventuring Gear. 
Вес: 0.25. 
Цена: 5 cp. 
Описание: -"
156,Plate Armor,"Категория снаряжения: Armor. 
Вес: 65. 
Цена: 1500 gp. 
Описание: -"
157,Playing Card Set,"Категория снаряжения: Tools. 
Вес: 0. 
Цена: 5 sp. 
Описание: This item encompasses a wide range of game pieces, including dice and decks of cards (for games such as Three-Dragon Ante). A few common examples appear on the Tools table, but other kinds of gaming sets exist. If you are proficient with a gaming set, you can add your proficiency bonus to ability checks you make to play a game with that set. Each type of gaming set requires a separate proficiency."
158,"Poison, basic (vial)","Категория снаряжения: Adventuring Gear. 
Вес: 0. 
Цена: 100 gp. 
Описание: You can use the poison in this vial to coat one slashing or piercing weapon or up to three pieces of ammunition. Applying the poison takes an action. A creature hit by the poisoned weapon or ammunition must make a DC 10 Constitution saving throw or take 1d4 poison damage. Once applied, the poison retains potency for 1 minute before drying."
159,Poisoner's Kit,"Категория снаряжения: Adventuring Gear. 
Вес: 2. 
Цена: 50 gp. 
Описание: A poisoner's kit includes the vials, chemicals, and other equipment necessary for the creation of poisons. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to craft or use poisons."
160,Pole (10-foot),"Категория снаряжения: Adventuring Gear. 
Вес: 7. 
Цена: 5 cp. 
Описание: -"
161,Pony,"Категория снаряжения: Mounts and Vehicles. 
Вес: -. 
Цена: 30 gp. 
Описание: -"
162,"Pot, iron","Категория снаряжения: Adventuring Gear. 
Вес: 10. 
Цена: 2 gp. 
Описание: -"
163,Potter's Tools,"Категория снаряжения: Tools. 
Вес: 3. 
Цена: 10 gp. 
Описание: These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency."
164,Pouch,"Категория снаряжения: Adventuring Gear. 
Вес: 1. 
Цена: 5 sp. 
Описание: A cloth or leather pouch can hold up to 20 sling bullets or 50 blowgun needles, among other things. A compartmentalized pouch for holding spell components is called a component pouch (described earlier in this section)."
165,Priest's Pack,"Категория снаряжения: Adventuring Gear. 
Вес: -. 
Цена: 19 gp. 
Описание: -"
166,Quarterstaff,"Категория снаряжения: Weapon. 
Вес: 4. 
Цена: 2 sp. 
Описание: -"
167,Quiver,"Категория снаряжения: Adventuring Gear. 
Вес: 1. 
Цена: 1 gp. 
Описание: A quiver can hold up to 20 arrows."
168,"Ram, portable","Категория снаряжения: Adventuring Gear. 
Вес: 35. 
Цена: 4 gp. 
Описание: You can use a portable ram to break down doors. When doing so, you gain a +4 bonus on the Strength check. One other character can help you use the ram, giving you advantage on this check."
169,Rapier,"Категория снаряжения: Weapon. 
Вес: 2. 
Цена: 25 gp. 
Описание: -"
170,Rations (1 day),"Категория снаряжения: Adventuring Gear. 
Вес: 2. 
Цена: 5 sp. 
Описание: Rations consist of dry foods suitable for extended travel, including jerky, dried fruit, hardtack, and nuts."
171,Reliquary,"Категория снаряжения: Adventuring Gear. 
Вес: 2. 
Цена: 5 gp. 
Описание: A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. Appendix B lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield."
172,Ring Mail,"Категория снаряжения: Armor. 
Вес: 40. 
Цена: 30 gp. 
Описание: -"
173,Robes,"Категория снаряжения: Adventuring Gear. 
Вес: 4. 
Цена: 1 gp. 
Описание: -"
174,Rod,"Категория снаряжения: Adventuring Gear. 
Вес: 2. 
Цена: 10 gp. 
Описание: An arcane focus is a special item--an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item--designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
175,"Rope, hempen (50 feet)","Категория снаряжения: Adventuring Gear. 
Вес: 10. 
Цена: 1 gp. 
Описание: Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check."
176,"Rope, silk (50 feet)","Категория снаряжения: Adventuring Gear. 
Вес: 5. 
Цена: 10 gp. 
Описание: Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check."
177,Rowboat,"Категория снаряжения: Mounts and Vehicles. 
Вес: -. 
Цена: 50 gp. 
Описание: Keelboats and rowboats are used on lakes and rivers. If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles can't be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. A rowboat weighs 100 pounds, in case adventurers carry it over land."
178,Sack,"Категория снаряжения: Adventuring Gear. 
Вес: 0.5. 
Цена: 1 cp. 
Описание: -"
179,"Saddle, Exotic","Категория снаряжения: Mounts and Vehicles. 
Вес: 50. 
Цена: 60 gp. 
Описание: An exotic saddle is required for riding any aquatic or flying mount."
180,"Saddle, Military","Категория снаряжения: Mounts and Vehicles. 
Вес: 30. 
Цена: 20 gp. 
Описание: A military saddle braces the rider, helping you keep your seat on an active mount in battle. It gives you advantage on any check you make to remain mounted."
181,"Saddle, Pack","Категория снаряжения: Mounts and Vehicles. 
Вес: 15. 
Цена: 5 gp. 
Описание: -"
182,"Saddle, Riding","Категория снаряжения: Mounts and Vehicles. 
Вес: 25. 
Цена: 10 gp. 
Описание: -"
183,Saddlebags,"Категория снаряжения: Mounts and Vehicles. 
Вес: 8. 
Цена: 4 gp. 
Описание: -"
184,Sailing ship,"Категория снаряжения: Mounts and Vehicles. 
Вес: -. 
Цена: 10000 gp. 
Описание: -"
185,Scale Mail,"Категория снаряжения: Armor. 
Вес: 45. 
Цена: 50 gp. 
Описание: -"
186,"Scale, merchant's","Категория снаряжения: Adventuring Gear. 
Вес: 3. 
Цена: 5 gp. 
Описание: A scale includes a small balance, pans, and a suitable assortment of weights up to 2 pounds. With it, you can measure the exact weight of small objects, such as raw precious metals or trade goods, to help determine their worth."
187,Scholar's Pack,"Категория снаряжения: Adventuring Gear. 
Вес: -. 
Цена: 40 gp. 
Описание: -"
188,Scimitar,"Категория снаряжения: Weapon. 
Вес: 3. 
Цена: 25 gp. 
Описание: -"
189,Sealing wax,"Категория снаряжения: Adventuring Gear. 
Вес: 0. 
Цена: 5 sp. 
Описание: -"
190,Shawm,"Категория снаряжения: Tools. 
Вес: 1. 
Цена: 2 gp. 
Описание: Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency."
191,Shield,"Категория снаряжения: Armor. 
Вес: 6. 
Цена: 10 gp. 
Описание: -"
192,Shortbow,"Категория снаряжения: Weapon. 
Вес: 2. 
Цена: 25 gp. 
Описание: -"
193,Shortsword,"Категория снаряжения: Weapon. 
Вес: 2. 
Цена: 10 gp. 
Описание: -"
194,Shovel,"Категория снаряжения: Adventuring Gear. 
Вес: 5. 
Цена: 2 gp. 
Описание: -"
195,Sickle,"Категория снаряжения: Weapon. 
Вес: 2. 
Цена: 1 gp. 
Описание: -"
196,Signal whistle,"Категория снаряжения: Adventuring Gear. 
Вес: 0. 
Цена: 5 cp. 
Описание: -"
197,Signet ring,"Категория снаряжения: Adventuring Gear. 
Вес: 0. 
Цена: 5 gp. 
Описание: -"
198,Sled,"Категория снаряжения: Mounts and Vehicles. 
Вес: 300. 
Цена: 20 gp. 
Описание: -"
199,Sling,"Категория снаряжения: Weapon. 
Вес: 0. 
Цена: 1 sp. 
Описание: -"
200,Sling bullet,"Категория снаряжения: Adventuring Gear. 
Вес: 1.5. 
Цена: 4 cp. 
Описание: -"
201,Small knife,"Категория снаряжения: Adventuring Gear. 
Вес: 0. 
Цена: 0 cp. 
Описание: A small knife, typically found in a scholar's pack."
202,Smith's Tools,"Категория снаряжения: Tools. 
Вес: 8. 
Цена: 20 gp. 
Описание: These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency."
203,Soap,"Категория снаряжения: Adventuring Gear. 
Вес: 0. 
Цена: 2 cp. 
Описание: -"
204,Spear,"Категория снаряжения: Weapon. 
Вес: 3. 
Цена: 1 gp. 
Описание: -"
205,Spellbook,"Категория снаряжения: Adventuring Gear. 
Вес: 3. 
Цена: 50 gp. 
Описание: Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells."
206,"Spike, iron","Категория снаряжения: Adventuring Gear. 
Вес: 5. 
Цена: 1 sp. 
Описание: -"
207,Splint Armor,"Категория снаряжения: Armor. 
Вес: 60. 
Цена: 200 gp. 
Описание: -"
208,Sprig of mistletoe,"Категория снаряжения: Adventuring Gear. 
Вес: 0. 
Цена: 1 gp. 
Описание: A druidic focus might be a sprig of mistletoe or holly, a wand or scepter made of yew or another special wood, a staff drawn whole out of a living tree, or a totem object incorporating feathers, fur, bones, and teeth from sacred animals. A druid can use such an object as a spellcasting focus."
209,Spyglass,"Категория снаряжения: Adventuring Gear. 
Вес: 1. 
Цена: 1000 gp. 
Описание: Objects viewed through a spyglass are magnified to twice their size."
210,Stabling (1 day),"Категория снаряжения: Mounts and Vehicles. 
Вес: 0. 
Цена: 5 sp. 
Описание: -"
211,Staff,"Категория снаряжения: Adventuring Gear. 
Вес: 4. 
Цена: 5 gp. 
Описание: An arcane focus is a special item--an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item--designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
212,String (10 feet),"Категория снаряжения: Adventuring Gear. 
Вес: 0. 
Цена: 0 cp. 
Описание: A 10-foot length of string, typically found in a burglar's pack."
213,Studded Leather Armor,"Категория снаряжения: Armor. 
Вес: 13. 
Цена: 45 gp. 
Описание: -"
214,"Tent, two-person","Категория снаряжения: Adventuring Gear. 
Вес: 20. 
Цена: 2 gp. 
Описание: A simple and portable canvas shelter, a tent sleeps two."
215,Thieves' Tools,"Категория снаряжения: Tools. 
Вес: 1. 
Цена: 25 gp. 
Описание: This set of tools includes a small file, a set of lock picks, a small mirror mounted on a metal handle, a set of narrow-bladed scissors, and a pair of pliers. Proficiency with these tools lets you add your proficiency bonus to any ability checks you make to disarm traps or open locks."
216,Tinderbox,"Категория снаряжения: Adventuring Gear. 
Вес: 1. 
Цена: 5 sp. 
Описание: This small container holds flint, fire steel, and tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a torch--or anything else with abundant, exposed fuel--takes an action. Lighting any other fire takes 1 minute."
217,Tinker's Tools,"Категория снаряжения: Tools. 
Вес: 10. 
Цена: 50 gp. 
Описание: These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency."
218,Torch,"Категория снаряжения: Adventuring Gear. 
Вес: 1. 
Цена: 1 cp. 
Описание: A torch burns for 1 hour, providing bright light in a 20-foot radius and dim light for an additional 20 feet. If you make a melee attack with a burning torch and hit, it deals 1 fire damage."
219,Totem,"Категория снаряжения: Adventuring Gear. 
Вес: 0. 
Цена: 1 gp. 
Описание: A druidic focus might be a sprig of mistletoe or holly, a wand or scepter made of yew or another special wood, a staff drawn whole out of a living tree, or a totem object incorporating feathers, fur, bones, and teeth from sacred animals. A druid can use such an object as a spellcasting focus."
220,Trident,"Категория снаряжения: Weapon. 
Вес: 4. 
Цена: 5 gp. 
Описание: -"
221,Vestments,"Категория снаряжения: Adventuring Gear. 
Вес: 0. 
Цена: 0 cp. 
Описание: Religious clothing, typically found in a priest's pack."
222,Vial,"Категория снаряжения: Adventuring Gear. 
Вес: 0. 
Цена: 1 gp. 
Описание: -"
223,Viol,"Категория снаряжения: Tools. 
Вес: 1. 
Цена: 30 gp. 
Описание: Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency."
224,Wagon,"Категория снаряжения: Mounts and Vehicles. 
Вес: 400. 
Цена: 35 gp. 
Описание: -"
225,Wand,"Категория снаряжения: Adventuring Gear. 
Вес: 1. 
Цена: 10 gp. 
Описание: An arcane focus is a special item--an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item--designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
226,War pick,"Категория снаряжения: Weapon. 
Вес: 2. 
Цена: 5 gp. 
Описание: -"
227,Warhammer,"Категория снаряжения: Weapon. 
Вес: 2. 
Цена: 15 gp. 
Описание: -"
228,Warhorse,"Категория снаряжения: Mounts and Vehicles. 
Вес: -. 
Цена: 400 gp. 
Описание: -"
229,Warship,"Категория снаряжения: Mounts and Vehicles. 
Вес: -. 
Цена: 25000 gp. 
Описание: -"
230,Waterskin,"Категория снаряжения: Adventuring Gear. 
Вес: 5. 
Цена: 2 sp. 
Описание: -"
231,Weaver's Tools,"Категория снаряжения: Tools. 
Вес: 5. 
Цена: 1 gp. 
Описание: These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency."
232,Whetstone,"Категория снаряжения: Adventuring Gear. 
Вес: 1. 
Цена: 1 cp. 
Описание: -"
233,Whip,"Категория снаряжения: Weapon. 
Вес: 3. 
Цена: 2 gp. 
Описание: -"
234,Woodcarver's Tools,"Категория снаряжения: Tools. 
Вес: 5. 
Цена: 1 gp. 
Описание: These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency."
235,Wooden staff,"Категория снаряжения: Adventuring Gear. 
Вес: 4. 
Цена: 5 gp. 
Описание: A druidic focus might be a sprig of mistletoe or holly, a wand or scepter made of yew or another special wood, a staff drawn whole out of a living tree, or a totem object incorporating feathers, fur, bones, and teeth from sacred animals. A druid can use such an object as a spellcasting focus."
236,Yew wand,"Категория снаряжения: Adventuring Gear. 
Вес: 1. 
Цена: 10 gp. 
Описание: A druidic focus might be a sprig of mistletoe or holly, a wand or scepter made of yew or another special wood, a staff drawn whole out of a living tree, or a totem object incorporating feathers, fur, bones, and teeth from sacred animals. A druid can use such an object as a spellcasting focus."
